VoltRide Quality Analysis,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total bike,,Total Glitch,,Glitch with bike, ,COUNTA of Bike_Id,,Frequency,COUNTA of Bike_Id,,
12040,,8990,,4326,,8990,,1,4991,,
,,,,,,,,2,2114,,
,,,,,,,,3,1866,,
Glitch %,,Bike Glitch %,,,,,,5,15,,
74.67%,,35.93%,,,,,,4,4,,
,,,,,,,,Grand Total,8990,,
Part_Category,COUNTA of Bike_Id,Cummualative sum,,,,,,,,,
Shock Absorber,1986,1986,,,,,,Part_Category,SUM of COUNTA of Bike_Id,Cummualative sum,Calculated Field 1
Speedometer,1547,3533,,,,,,Shock Absorber,1986,1986,22.09%
Radiator,1186,4719,,,,,,Speedometer,1547,3533,39.30%
Engine Block,1144,5863,,,,,,Radiator,1186,4719,52.49%
Transmission,1124,6987,,,,,,Engine Block,1144,5863,65.22%
Exhaust System,1016,8003,,,,,,Transmission,1124,6987,77.72%
Brake Disc,987,8990,,,,,,Exhaust System,1016,8003,89.02%
Grand Total,8990,,,,,,,Brake Disc,987,8990,100.00%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Supplier,COUNTA of Bike_Id,Cummlative Sum,,Supplier,SUM of COUNTA of Bike_Id,Cummlative Sum,Calculated Field 1,,,,
ComfortSeat Ltd.,1332,1332,,ComfortSeat Ltd.,1332,1332,14.82%,,,,
AirShield Technologies,943,2275,,AirShield Technologies,943,2275,25.31%,,,,
SeatEase Corp.,654,2929,,SeatEase Corp.,654,2929,32.58%,,,,
ImpRadiatortGuard Systems,604,3533,,ImpRadiatortGuard Systems,604,3533,39.30%,,,,
FreshBreeze Co.,599,4132,,FreshBreeze Co.,599,4132,45.96%,,,,
CoolAir Solutions,587,4719,,CoolAir Solutions,587,4719,52.49%,,,,
SmoothShift Systems,582,5301,,SmoothShift Systems,582,5301,58.97%,,,,
Engine BlockWorks Inc.,582,5883,,Engine BlockWorks Inc.,582,5883,65.44%,,,,
ChildLock Pro,576,6459,,ChildLock Pro,576,6459,71.85%,,,,
PowerDrive Co.,562,7021,,PowerDrive Co.,562,7021,78.10%,,,,
GearTech Ltd.,542,7563,,GearTech Ltd.,542,7563,84.13%,,,,
SafeStop Ltd.,528,8091,,SafeStop Ltd.,528,8091,90.00%,,,,
BrakeMaster Inc.,459,8550,,BrakeMaster Inc.,459,8550,95.11%,,,,
SecureKids Corp.,440,8990,,SecureKids Corp.,440,8990,100.00%,,,,
Grand Total,8990,,,Grand Total,8990,76778,8.540378198,,,,